tool,run,parameter,moment,value
nm7,6,P3,estimate,0.0716118
nm7,6,P4,estimate,3.89009
nm7,6,P5,estimate,94.2567
nm7,6,P6,estimate,1.07903
nm7,6,P7,estimate,1.16319
nm7,6,P8,estimate,0.07829
nm7,6,P9,estimate,0.180029
nm7,6,P10,estimate,0
nm7,6,P11,estimate,0.117827
nm7,6,P12,estimate,0
nm7,6,P13,estimate,0
nm7,6,P14,estimate,0.101856
nm7,6,P1,prse,Inf
nm7,6,P2,prse,Inf
nm7,6,P3,prse,Inf
nm7,6,P4,prse,Inf
nm7,6,P5,prse,Inf
nm7,6,P6,prse,Inf
nm7,6,P7,prse,Inf
nm7,6,P8,prse,Inf
nm7,6,P9,prse,Inf
nm7,6,P10,prse,Inf
nm7,6,P11,prse,Inf
nm7,6,P12,prse,Inf
nm7,6,P13,prse,Inf
nm7,6,P14,prse,Inf
nm7,6,ofv,minimum,2236.11480883602
nm7,7,prob,text,7 phase1 2 CMT like 1004 but diff. initial on V3
nm7,7,min,status,0
nm7,7,P1,estimate,10.0529
nm7,7,P2,estimate,23.6788
nm7,7,P3,estimate,0.0687462
nm7,7,P4,estimate,4.43348
nm7,7,P5,estimate,139.819
nm7,7,P6,estimate,1.05855
nm7,7,P7,estimate,1.78881
nm7,7,P8,estimate,0.0703442
nm7,7,P9,estimate,0.327275
nm7,7,P10,estimate,0
nm7,7,P11,estimate,0.176644
nm7,7,P12,estimate,0
nm7,7,P13,estimate,0
nm7,7,P14,estimate,0.0767474
nm7,7,P1,prse,Inf
nm7,7,P2,prse,Inf
nm7,7,P3,prse,Inf
nm7,7,P4,prse,Inf
nm7,7,P5,prse,Inf
nm7,7,P6,prse,Inf
nm7,7,P7,prse,Inf
nm7,7,P8,prse,Inf
nm7,7,P9,prse,Inf
nm7,7,P10,prse,Inf
nm7,7,P11,prse,Inf
nm7,7,P12,prse,Inf
nm7,7,P13,prse,Inf
nm7,7,P14,prse,Inf
nm7,7,ofv,minimum,2562.12486891296
nm7,8,prob,text,8 phase1 2 CMT like 1004 but diff. initial on V3
nm7,8,min,status,0
nm7,8,P1,estimate,8.21021
nm7,8,P2,estimate,25.6328
nm7,8,P3,estimate,0.0657621
nm7,8,P4,estimate,4.08697
nm7,8,P5,estimate,121.756
nm7,8,P6,estimate,1.1265
nm7,8,P7,estimate,2.37344
nm7,8,P8,estimate,0.061677
nm7,8,P9,estimate,0.243006
nm7,8,P10,estimate,0
nm7,8,P11,estimate,0.11929
nm7,8,P12,estimate,0
nm7,8,P13,estimate,0
nm7,8,P14,estimate,0.0763929
nm7,8,P1,prse,Inf
nm7,8,P2,prse,Inf
nm7,8,P3,prse,Inf
nm7,8,P4,prse,Inf
nm7,8,P5,prse,Inf
nm7,8,P6,prse,Inf
nm7,8,P7,prse,Inf
nm7,8,P8,prse,Inf
nm7,8,P9,prse,Inf
nm7,8,P10,prse,Inf
nm7,8,P11,prse,Inf
nm7,8,P12,prse,Inf
nm7,8,P13,prse,Inf
nm7,8,P14,prse,Inf
nm7,8,ofv,minimum,2388.93125222799
nm7,9,prob,text,9 phase1 2 CMT like 1004 but diff. initial on V3
nm7,9,min,status,0
nm7,9,P1,estimate,9.34189
nm7,9,P2,estimate,22.8651
nm7,9,P3,estimate,0.067912
nm7,9,P4,estimate,3.79509
nm7,9,P5,estimate,92.3966
nm7,9,P6,estimate,1.10189
nm7,9,P7,estimate,1.59232
nm7,9,P8,estimate,0.0705496
nm7,9,P9,estimate,0.187825
nm7,9,P10,estimate,0
nm7,9,P11,estimate,0.147172
nm7,9,P12,estimate,0
nm7,9,P13,estimate,0
nm7,9,P14,estimate,0.107854
nm7,9,P1,prse,Inf
nm7,9,P2,prse,Inf
nm7,9,P3,prse,Inf
nm7,9,P4,prse,Inf
nm7,9,P5,prse,Inf
nm7,9,P6,prse,Inf
nm7,9,P7,prse,Inf
nm7,9,P8,prse,Inf
nm7,9,P9,prse,Inf
nm7,9,P10,prse,Inf
nm7,9,P11,prse,Inf
nm7,9,P12,prse,Inf
nm7,9,P13,prse,Inf
nm7,9,P14,prse,Inf
nm7,9,ofv,minimum,2493.49516645065
nm7,10,prob,text,10 phase1 2 CMT like 1004 but diff. initial on V3
nm7,10,min,status,0
nm7,10,P1,estimate,9.85489
nm7,10,P2,estimate,26.1078
nm7,10,P3,estimate,0.0736399
nm7,10,P4,estimate,4.41333
nm7,10,P5,estimate,119.735
nm7,10,P6,estimate,0.836765
nm7,10,P7,estimate,1.85115
nm7,10,P8,estimate,0.0582831
nm7,10,P9,estimate,0.191492
nm7,10,P10,estimate,0
nm7,10,P11,estimate,0.0947485
nm7,10,P12,estimate,0
nm7,10,P13,estimate,0
nm7,10,P14,estimate,0.0751036
nm7,10,P1,prse,Inf
nm7,10,P2,prse,Inf
nm7,10,P3,prse,Inf
nm7,10,P4,prse,Inf
nm7,10,P5,prse,Inf
nm7,10,P6,prse,Inf
nm7,10,P7,prse,Inf
nm7,10,P8,prse,Inf
nm7,10,P9,prse,Inf
nm7,10,P10,prse,Inf
nm7,10,P11,prse,Inf
nm7,10,P12,prse,Inf
nm7,10,P13,prse,Inf
nm7,10,P14,prse,Inf
nm7,10,ofv,minimum,2734.99924992991
nm7,11,prob,text,11 phase1 2 CMT like 1004 but diff. initial on V3
nm7,11,min,status,0
nm7,11,P1,estimate,7.19161
nm7,11,P2,estimate,25.1065
nm7,11,P3,estimate,0.0821139
nm7,11,P4,estimate,4.72224
nm7,11,P5,estimate,99.5872
nm7,11,P6,estimate,1.08031
nm7,11,P7,estimate,1.87728
nm7,11,P8,estimate,0.0482248
nm7,11,P9,estimate,0.188275
nm7,11,P10,estimate,0
nm7,11,P11,estimate,0.0455356
nm7,11,P12,estimate,0
nm7,11,P13,estimate,0
nm7,11,P14,estimate,0.110099
nm7,11,P1,prse,Inf
nm7,11,P2,prse,Inf
nm7,11,P3,prse,Inf
nm7,11,P4,prse,Inf
nm7,11,P5,prse,Inf
nm7,11,P6,prse,Inf
nm7,11,P7,prse,Inf
nm7,11,P8,prse,Inf
nm7,11,P9,prse,Inf
nm7,11,P10,prse,Inf
nm7,11,P11,prse,Inf
nm7,11,P12,prse,Inf
nm7,11,P13,prse,Inf
nm7,11,P14,prse,Inf
nm7,11,ofv,minimum,2757.2423329719
nm7,12,prob,text,12 phase1 2 CMT like 1004 but diff. initial on V3
nm7,12,min,status,0
nm7,12,P1,estimate,8.19378
nm7,12,P2,estimate,22.8054
nm7,12,P3,estimate,0.0644377
nm7,12,P4,estimate,3.35374
nm7,12,P5,estimate,121.656
nm7,12,P6,estimate,1.36556
nm7,12,P7,estimate,1.83354
nm7,12,P8,estimate,0.0643828
nm7,12,P9,estimate,0.19789
nm7,12,P10,estimate,0
nm7,12,P11,estimate,0.158397
nm7,12,P12,estimate,0
nm7,12,P13,estimate,0
nm7,12,P14,estimate,0.0926469
nm7,12,P1,prse,Inf
nm7,12,P2,prse,Inf
nm7,12,P3,prse,Inf
nm7,12,P4,prse,Inf
nm7,12,P5,prse,Inf
nm7,12,P6,prse,Inf
nm7,12,P7,prse,Inf
nm7,12,P8,prse,Inf
nm7,12,P9,prse,Inf
nm7,12,P10,prse,Inf
nm7,12,P11,prse,Inf
nm7,12,P12,prse,Inf
nm7,12,P13,prse,Inf
nm7,12,P14,prse,Inf
nm7,12,ofv,minimum,2762.70845751241
nm7,13,prob,text,13 phase1 2 CMT like 1004 but diff. initial on V3
nm7,13,min,status,0
nm7,13,P1,estimate,7.43612
nm7,13,P2,estimate,21.7622
nm7,13,P3,estimate,0.0737886
nm7,13,P4,estimate,4.06415
nm7,13,P5,estimate,94.8435
nm7,13,P6,estimate,1.13036
nm7,13,P7,estimate,1.89674
nm7,13,P8,estimate,0.0612453
nm7,13,P9,estimate,0.171162
nm7,13,P10,estimate,0
nm7,13,P11,estimate,0.086247
nm7,13,P12,estimate,0
nm7,13,P13,estimate,0
nm7,13,P14,estimate,0.1239
nm7,13,P1,prse,Inf
nm7,13,P2,prse,Inf
nm7,13,P3,prse,Inf
nm7,13,P4,prse,Inf
nm7,13,P5,prse,Inf
nm7,13,P6,prse,Inf
nm7,13,P7,prse,Inf
nm7,13,P8,prse,Inf
nm7,13,P9,prse,Inf
nm7,13,P10,prse,Inf
nm7,13,P11,prse,Inf
nm7,13,P12,prse,Inf
nm7,13,P13,prse,Inf
nm7,13,P14,prse,Inf
nm7,13,ofv,minimum,2449.07313087253
nm7,14,prob,text,14 phase1 2 CMT like 1004 but diff. initial on V3
nm7,14,min,status,0
nm7,14,P1,estimate,9.16796
nm7,14,P2,estimate,21.5208
nm7,14,P3,estimate,0.0630898
nm7,14,P4,estimate,3.57174
nm7,14,P5,estimate,105.971
nm7,14,P6,estimate,0.948446
nm7,14,P7,estimate,1.42121
nm7,14,P8,estimate,0.0680253
nm7,14,P9,estimate,0.186996
nm7,14,P10,estimate,0
nm7,14,P11,estimate,0.104523
nm7,14,P12,estimate,0
nm7,14,P13,estimate,0
nm7,14,P14,estimate,0.101054
nm7,14,P1,prse,Inf
nm7,14,P2,prse,Inf
nm7,14,P3,prse,Inf
nm7,14,P4,prse,Inf
nm7,14,P5,prse,Inf
nm7,14,P6,prse,Inf
nm7,14,P7,prse,Inf
nm7,14,P8,prse,Inf
nm7,14,P9,prse,Inf
nm7,14,P10,prse,Inf
nm7,14,P11,prse,Inf
nm7,14,P12,prse,Inf
nm7,14,P13,prse,Inf
nm7,14,P14,prse,Inf
nm7,14,ofv,minimum,2214.90886234044
nm7,15,prob,text,15 phase1 2 CMT like 1004 but diff. initial on V3
nm7,15,min,status,0
nm7,15,P1,estimate,7.98107
nm7,15,P2,estimate,22.0872
nm7,15,P3,estimate,0.0736908
nm7,15,P4,estimate,3.75632
nm7,15,P5,estimate,111.116
nm7,15,P6,estimate,0.975654
nm7,15,P7,estimate,2.02271
nm7,15,P8,estimate,0.0694669
nm7,15,P9,estimate,0.165872
nm7,15,P10,estimate,0
nm7,15,P11,estimate,0.13592
nm7,15,P12,estimate,0
nm7,15,P13,estimate,0
nm7,15,P14,estimate,0.0926145
nm7,15,P1,prse,Inf
nm7,15,P2,prse,Inf
nm7,15,P3,prse,Inf
nm7,15,P4,prse,Inf
nm7,15,P5,prse,Inf
nm7,15,P6,prse,Inf
nm7,15,P7,prse,Inf
nm7,15,P8,prse,Inf
nm7,15,P9,prse,Inf
nm7,15,P10,prse,Inf
nm7,15,P11,prse,Inf
nm7,15,P12,prse,Inf
nm7,15,P13,prse,Inf
nm7,15,P14,prse,Inf
nm7,15,ofv,minimum,2738.73342071709
nm7,16,prob,text,16 phase1 2 CMT like 1004 but diff. initial on V3
nm7,16,min,status,0
nm7,16,P1,estimate,7.7613
nm7,16,P2,estimate,21.93
nm7,16,P3,estimate,0.0699418
nm7,16,P4,estimate,3.71051
