$PROB 16 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679937448,12.7938,17.9717,0.0911555,3.84528,63.1665,0.0384838,0.0508458,0,0.0412226,0,0,0.0340097
$PROB 16 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 17 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679719539,12.7939,17.972,0.0911578,3.84537,63.1682,0.038482,0.0508553,0,0.0412291,0,0,0.0340142
$PROB 17 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 18 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25680010901,12.7938,17.9708,0.0911504,3.84474,63.1631,0.0384844,0.0508428,0,0.0412193,0,0,0.0340065
$PROB 18 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 19 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.2568000708,12.7938,17.9708,0.0911504,3.84474,63.1631,0.0384844,0.0508428,0,0.0412196,0,0,0.0340066
$PROB 19 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 20 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679709774,12.7939,17.972,0.0911578,3.84535,63.1681,0.038482,0.0508556,0,0.0412293,0,0,0.0340144
$PROB 20 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 21 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679611416,12.7938,17.9703,0.091149,3.84416,63.1589,0.0384819,0.0508628,0,0.0412279,0,0,0.0340144
$PROB 21 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 22 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679565666,12.7939,17.9714,0.0911546,3.84484,63.1643,0.0384815,0.0508605,0,0.0412326,0,0,0.0340167
$PROB 22 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 23 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679724401,12.7939,17.972,0.0911579,3.84538,63.1682,0.038482,0.0508551,0,0.041229,0,0,0.0340141
$PROB 23 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 24 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679675962,12.7939,17.9719,0.0911574,3.84528,63.1676,0.0384818,0.0508567,0,0.0412302,0,0,0.0340151
$PROB 24 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 25 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679593186,12.7939,17.9716,0.0911556,3.84499,63.1654,0.0384815,0.0508595,0,0.041232,0,0,0.0340164
$PROB 25 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 26 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679934925,12.7938,17.9717,0.0911557,3.84531,63.1667,0.0384838,0.050846,0,0.0412228,0,0,0.0340097
$PROB 26 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 27 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25678942939,12.7934,17.9693,0.0911399,3.84235,63.1413,0.0384871,0.0508476,0,0.0412138,0,0,0.0340049
