"tool","run","parameter","moment","value"
"nm7","5","min","status","0"
"nm7","5","ofv","estimate","2380.04791390424"
"nm7","5","OMEGA1.1","estimate","0.201776"
"nm7","5","OMEGA1.1","prse",NA
"nm7","5","OMEGA2.1","estimate","0"
"nm7","5","OMEGA2.1","prse",NA
"nm7","5","OMEGA2.2","estimate","0.123672"
"nm7","5","OMEGA2.2","prse",NA
"nm7","5","OMEGA3.1","estimate","0"
"nm7","5","OMEGA3.1","prse",NA
"nm7","5","OMEGA3.2","estimate","0"
"nm7","5","OMEGA3.2","prse",NA
"nm7","5","OMEGA3.3","estimate","0.100495"
"nm7","5","OMEGA3.3","prse",NA
"nm7","5","SIGMA1.1","estimate","0.0675455"
"nm7","5","SIGMA1.1","prse",NA
"nm7","5","THETA1","estimate","8.36964"
"nm7","5","THETA1","prse",NA
"nm7","5","THETA2","estimate","21.2404"
"nm7","5","THETA2","prse",NA
"nm7","5","THETA3","estimate","0.0685654"
"nm7","5","THETA3","prse",NA
"nm7","5","THETA4","estimate","3.69634"
"nm7","5","THETA4","prse",NA
"nm7","5","THETA5","estimate","104.416"
"nm7","5","THETA5","prse",NA
"nm7","5","THETA6","estimate","0.914796"
"nm7","5","THETA6","prse",NA
"nm7","5","THETA7","estimate","1.97656"
"nm7","5","THETA7","prse",NA
"nm7","6","prob","text","6 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","6","min","status","0"
"nm7","6","ofv","estimate","2236.11480883602"
"nm7","6","OMEGA1.1","estimate","0.180029"
"nm7","6","OMEGA1.1","prse",NA
"nm7","6","OMEGA2.1","estimate","0"
"nm7","6","OMEGA2.1","prse",NA
"nm7","6","OMEGA2.2","estimate","0.117827"
"nm7","6","OMEGA2.2","prse",NA
"nm7","6","OMEGA3.1","estimate","0"
"nm7","6","OMEGA3.1","prse",NA
"nm7","6","OMEGA3.2","estimate","0"
"nm7","6","OMEGA3.2","prse",NA
"nm7","6","OMEGA3.3","estimate","0.101856"
"nm7","6","OMEGA3.3","prse",NA
"nm7","6","SIGMA1.1","estimate","0.07829"
"nm7","6","SIGMA1.1","prse",NA
"nm7","6","THETA1","estimate","9.09701"
"nm7","6","THETA1","prse",NA
"nm7","6","THETA2","estimate","20.6853"
"nm7","6","THETA2","prse",NA
"nm7","6","THETA3","estimate","0.0716118"
"nm7","6","THETA3","prse",NA
"nm7","6","THETA4","estimate","3.89009"
"nm7","6","THETA4","prse",NA
"nm7","6","THETA5","estimate","94.2567"
"nm7","6","THETA5","prse",NA
"nm7","6","THETA6","estimate","1.07903"
"nm7","6","THETA6","prse",NA
"nm7","6","THETA7","estimate","1.16319"
"nm7","6","THETA7","prse",NA
"nm7","7","prob","text","7 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","7","min","status","0"
"nm7","7","ofv","estimate","2562.12486891296"
"nm7","7","OMEGA1.1","estimate","0.327275"
"nm7","7","OMEGA1.1","prse",NA
"nm7","7","OMEGA2.1","estimate","0"
"nm7","7","OMEGA2.1","prse",NA
"nm7","7","OMEGA2.2","estimate","0.176644"
"nm7","7","OMEGA2.2","prse",NA
"nm7","7","OMEGA3.1","estimate","0"
